fine_value,U_N_0,U_N_1,U_N_2,U_N_3,U_N_4,U_N_5,U_P_0,U_P_1,U_P_2,U_P_3,U_P_4,U_P_5,V_N_0,V_N_1,V_N_2,V_N_3,V_N_4,V_N_5,V_P_0,V_P_1,V_P_2,V_P_3,V_P_4,V_P_5,,DAC nmos0 U offset form ideal,,,DAC nmos5 U offset form ideal
255,7.17655281274384E-11,5.72772792402766E-10,4.56800860356774E-09,3.64220641714183E-08,2.90357958136386E-07,2.27591087557038E-06,6.69111707551214E-11,5.36282379793291E-10,4.30038498860299E-09,3.44487593864882E-08,2.77419355912506E-07,2.24486459139095E-06,0.268542884366298,0.348491016969991,0.432191377003039,0.524050496791695,0.62911234075212,0.771128880207125,1.46230419942909,1.3847153647332,1.30277317245414,1.21207368775116,1.10585407651796,0.944346977005178,,0.00%,,,0.00%
254,7.14595521176008E-11,5.70187847266551E-10,4.54746621160138E-09,3.62526174494521E-08,2.88954905508235E-07,2.26536723219228E-06,6.66091350133095E-11,5.33950925021898E-10,4.28099172038123E-09,3.42909072709071E-08,2.76074563327485E-07,2.23452140395417E-06,0.268389665138808,0.348320539683714,0.432002672490289,0.523831628312124,0.6288425147644,0.770708346670407,1.46245091615862,1.38488428248939,1.30295891916443,1.21228667660469,1.10613457445323,0.944849031270736,,-0.04%,,,-0.07%
253,7.11804507299927E-11,5.67835597202256E-10,4.528016364203E-09,3.60932695130805E-08,2.87659724002244E-07,2.25589888121133E-06,6.63300433173981E-11,5.3169372720379E-10,4.26261560575465E-09,3.41402896772268E-08,2.74814538787941E-07,2.2250253647786E-06,0.268231604495117,0.348152571520501,0.431823252794196,0.5236249255673,0.628592420992799,0.770329620150256,1.46262456850409,1.38504531383783,1.3031356625779,1.21249076008432,1.10639972643129,0.94531286151334,,-0.03%,,,-0.10%
252,7.08125385219681E-11,5.65343759133249E-10,4.50748227492481E-09,3.59236823474987E-08,2.86255668253468E-07,2.24535021528616E-06,6.60297664994066E-11,5.29316708090499E-10,4.2432478608528E-09,3.39791645761946E-08,2.73470808048015E-07,2.21449192682677E-06,0.26803986178149,0.347980349128717,0.431633031151575,0.523403996956644,0.628320195435786,0.769906492935883,1.46277219378851,1.38521561557164,1.3033227286727,1.21271001486625,1.10668231168894,0.945827163228949,,-0.16%,,,-0.17%
251,7.05436422420779E-11,5.62860953831663E-10,4.48970122496605E-09,3.5781195698431E-08,2.85140158474679E-07,2.23750810978931E-06,6.57794653254727E-11,5.27220044725507E-10,4.22645904093709E-09,3.38439614740862E-08,2.72379418481587E-07,2.20675460624068E-06,0.267896071398999,0.347816383770266,0.431467643333788,0.523217614670525,0.628103085309833,0.769591090987903,1.46292871216694,1.38536487863604,1.30348554326458,1.21289474692825,1.10691354165572,0.946207524164657,,-0.14%,,,-0.13%
250,7.02312484569134E-11,5.60602904481849E-10,4.46917243271022E-09,3.56112258767446E-08,2.83736473383198E-07,2.22695632437354E-06,6.54785167194475E-11,5.24828106575741E-10,4.20707822910037E-09,3.36830395933382E-08,2.71040115345569E-07,2.1961742316947E-06,0.267721712843601,0.347650960767872,0.431275918276976,0.522994368432814,0.627828835185166,0.769165606267128,1.4630805009695,1.3855366172089,1.30367426018814,1.21311552073487,1.10719752435615,0.946726132907544,,-0.19%,,,-0.20%
249,6.99302332261794E-11,5.58153214674411E-10,4.44973174871714E-09,3.54521279165531E-08,2.8244137718084E-07,2.21748326117861E-06,6.51993566250996E-11,5.22604961801508E-10,4.18870343530379E-09,3.3532026675988E-08,2.69781112800312E-07,2.18674837323898E-06,0.26755780782091,0.347479846311541,0.43109357869334,0.522784492953003,0.627574751227588,0.768782500277847,1.46325613987807,1.38570033330046,1.30385394544447,1.21332359888331,1.10746650630417,0.947191155509431,,-0.22%,,,-0.23%
248,6.96065581195563E-11,5.55664436524029E-10,4.42918091578196E-09,3.52822771729517E-08,2.81036903243395E-07,2.20692781927554E-06,6.49166773174204E-11,5.20153424702275E-10,4.16933592856794E-09,3.33712980453848E-08,2.68436508027236E-07,2.17621788177995E-06,0.26738210024763,0.34730492949823,0.430899997836914,0.522559454056388,0.627298058931668,0.768354393928983,1.46340676900186,1.38587355681033,1.30404415078215,1.213546028914,1.10775362434954,0.947710403060744,,-0.28%,,,-0.31%
247,6.93994270495077E-11,5.53647879196438E-10,4.4156015328983E-09,3.51717588024097E-08,2.80273568445237E-07,2.20181229764609E-06,6.46943673776742E-11,5.18383953391501E-10,4.15554572901286E-09,3.32667636531168E-08,2.67671930967405E-07,2.17116797050637E-06,0.26726786298299,0.347170828975697,0.430771614191722,0.522412478687112,0.62714717026196,0.768146433174634,1.46354207877793,1.38600090781108,1.3041800945599,1.21369123079244,1.10791276147589,0.947961383983626,,-0.18%,,,-0.14%
246,6.90716820544652E-11,5.51271902464621E-10,4.39506021857119E-09,3.50020940276524E-08,2.78869775600581E-07,2.19125379840407E-06,6.43880645748408E-11,5.15958693084316E-10,4.13616451108447E-09,3.31051097732608E-08,2.66345792031821E-07,2.1607143027776E-06,0.267088748146077,0.346994768011548,0.430576692028238,0.522185999648073,0.626868744420453,0.76771624522409,1.46371073335187,1.3861755682136,1.30437188090032,1.21391661584212,1.10820339563864,0.948478591801791,,-0.25%,,,-0.21%
