Iteration	coarse	fine	type	nominal_weight	chip
0	3	186	PyrPyr	0.0254296875	green
0	4	149	PyrPV	0.16296875	green
0	4	145	PVPyr	0.15859375	green
0	3	145	PVPV	0.01982421875	green
0	4	115	PyrPyr	0.12578125	green
0	3	155	PyrPV	0.02119140625	green
0	3	185	PVPyr	0.02529296875	green
0	4	115	PVPV	0.12578125	green
0	3	215	PyrPyr	0.02939453125	green
0	4	65	PyrPV	0.07109375	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	3	96	PyrPyr	0.013125	green
0	4	103	PyrPV	0.11265625	green
0	4	50	PVPyr	0.0546875	green
0	3	135	PVPV	0.01845703125	green
0	3	169	PyrPyr	0.02310546875	green
0	4	110	PyrPV	0.1203125	green
0	4	165	PVPyr	0.18046875	green
0	3	104	PVPV	0.01421875	green
0	3	179	PyrPyr	0.02447265625	green
0	4	129	PyrPV	0.14109375	green
0	4	155	PVPyr	0.16953125	green
0	3	104	PVPV	0.01421875	green
0	3	110	PyrPyr	0.0150390625	green
0	4	100	PyrPV	0.109375	green
0	4	99	PVPyr	0.10828125	green
0	3	102	PVPV	0.0139453125	green
0	3	171	PyrPyr	0.02337890625	green
0	4	129	PyrPV	0.14109375	green
0	4	178	PVPyr	0.1946875	green
0	3	102	PVPV	0.0139453125	green
0	3	95	PyrPyr	0.01298828125	green
0	4	62	PyrPV	0.0678125	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	3	166	PyrPyr	0.0226953125	green
0	4	90	PyrPV	0.0984375	green
0	4	125	PVPyr	0.13671875	green
0	3	193	PVPV	0.02638671875	green
0	3	215	PyrPyr	0.02939453125	green
0	4	65	PyrPV	0.07109375	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	3	139	PyrPyr	0.01900390625	green
0	4	60	PyrPV	0.065625	green
0	4	203	PVPyr	0.22203125	green
0	3	182	PVPV	0.0248828125	green
0	3	159	PyrPyr	0.02173828125	green
0	4	130	PyrPV	0.1421875	green
0	4	155	PVPyr	0.16953125	green
0	3	143	PVPV	0.01955078125	green
0	3	235	PyrPyr	0.03212890625	green
0	4	65	PyrPV	0.07109375	green
0	4	155	PVPyr	0.16953125	green
0	3	175	PVPV	0.02392578125	green
0	2	140	PyrPyr	0.00243359375	green
0	4	60	PyrPV	0.065625	green
0	4	100	PVPyr	0.109375	green
0	3	180	PVPV	0.024609375	green
0	3	215	PyrPyr	0.02939453125	green
0	4	65	PyrPV	0.07109375	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	3	160	PyrPyr	0.021875	green
0	4	110	PyrPV	0.1203125	green
0	4	153	PVPyr	0.16734375	green
0	3	173	PVPV	0.02365234375	green
0	3	95	PyrPyr	0.01298828125	green
0	4	70	PyrPV	0.0765625	green
0	4	155	PVPyr	0.16953125	green
0	3	170	PVPV	0.0232421875	green
0	3	178	PyrPyr	0.0243359375	green
0	4	68	PyrPV	0.074375	green
0	4	190	PVPyr	0.2078125	green
0	3	241	PVPV	0.03294921875	green
0	4	96	PyrPyr	0.105	green
0	4	62	PyrPV	0.0678125	green
0	3	230	PVPyr	0.0314453125	green
0	3	170	PVPV	0.0232421875	green
0	4	60	PyrPyr	0.065625	green
0	3	201	PyrPV	0.02748046875	green
0	4	107	PVPyr	0.11703125	green
0	4	144	PVPV	0.1575	green
0	4	46	PyrPyr	0.0503125	green
0	3	231	PyrPV	0.03158203125	green
0	3	161	PVPyr	0.02201171875	green
0	4	82	PVPV	0.0896875	green
0	4	55	PyrPyr	0.06015625	green
0	4	64	PyrPV	0.07	green
0	4	20	PVPyr	0.021875	green
0	3	184	PVPV	0.02515625	green
0	3	215	PyrPyr	0.02939453125	green
0	4	65	PyrPV	0.07109375	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	3	215	PyrPyr	0.02939453125	green
0	4	65	PyrPV	0.07109375	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	3	215	PyrPyr	0.02939453125	green
0	4	65	PyrPV	0.07109375	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	3	215	PyrPyr	0.02939453125	green
0	4	65	PyrPV	0.07109375	green
0	4	105	PVPyr	0.11484375	green
0	3	215	PVPV	0.02939453125	green
0	4	115	PyrPyr	0.12578125	orange
0	3	135	PyrPV	0.01845703125	orange
0	3	145	PVPyr	0.01982421875	orange
0	4	175	PVPV	0.19140625	orange
0	4	105	PyrPyr	0.11484375	orange
0	3	125	PyrPV	0.01708984375	orange
0	3	145	PVPyr	0.01982421875	orange
0	4	185	PVPV	0.20234375	orange
0	3	190	PyrPyr	0.0259765625	orange
0	3	160	PyrPV	0.021875	orange
0	3	185	PVPyr	0.02529296875	orange
0	3	125	PVPV	0.01708984375	orange
0	4	175	PyrPyr	0.19140625	orange
0	3	155	PyrPV	0.02119140625	orange
0	3	155	PVPyr	0.02119140625	orange
0	4	95	PVPV	0.10390625	orange
0	3	215	PyrPyr	0.02939453125	orange
0	4	65	PyrPV	0.07109375	orange
0	4	105	PVPyr	0.11484375	orange
0	3	215	PVPV	0.02939453125	orange
0	3	160	PyrPyr	0.021875	orange
0	4	110	PyrPV	0.1203125	orange
0	4	100	PVPyr	0.109375	orange
0	3	162	PVPV	0.0221484375	orange
0	3	160	PyrPyr	0.021875	orange
0	4	80	PyrPV	0.0875	orange
0	4	219	PVPyr	0.23953125	orange
0	3	161	PVPV	0.02201171875	orange
0	3	160	PyrPyr	0.021875	orange
0	4	40	PyrPV	0.04375	orange
0	4	221	PVPyr	0.24171875	orange
0	3	160	PVPV	0.021875	orange
0	3	160	PyrPyr	0.021875	orange
0	4	79	PyrPV	0.08640625	orange
0	4	160	PVPyr	0.175	orange
0	3	160	PVPV	0.021875	orange
0	3	141	PyrPyr	0.01927734375	orange
0	4	109	PyrPV	0.11921875	orange
0	4	140	PVPyr	0.153125	orange
0	3	110	PVPV	0.0150390625	orange
0	3	140	PyrPyr	0.019140625	orange
0	4	110	PyrPV	0.1203125	orange
0	4	180	PVPyr	0.196875	orange
0	3	180	PVPV	0.024609375	orange
0	3	131	PyrPyr	0.01791015625	orange
0	4	130	PyrPV	0.1421875	orange
0	4	99	PVPyr	0.10828125	orange
0	3	182	PVPV	0.0248828125	orange
0	3	100	PyrPyr	0.013671875	orange
0	4	70	PyrPV	0.0765625	orange
0	4	160	PVPyr	0.175	orange
0	3	140	PVPV	0.019140625	orange
0	3	111	PyrPyr	0.01517578125	orange
0	4	99	PyrPV	0.10828125	orange
0	4	109	PVPyr	0.11921875	orange
0	3	100	PVPV	0.013671875	orange
0	3	197	PyrPyr	0.02693359375	orange
0	4	41	PyrPV	0.04484375	orange
0	4	185	PVPyr	0.20234375	orange
0	3	178	PVPV	0.0243359375	orange
0	3	215	PyrPyr	0.02939453125	orange
0	4	65	PyrPV	0.07109375	orange
0	4	105	PVPyr	0.11484375	orange
0	3	215	PVPV	0.02939453125	orange
0	3	215	PyrPyr	0.02939453125	orange
0	4	65	PyrPV	0.07109375	orange
0	4	105	PVPyr	0.11484375	orange
0	3	215	PVPV	0.02939453125	orange
0	3	215	PyrPyr	0.02939453125	orange
0	4	65	PyrPV	0.07109375	orange
0	4	105	PVPyr	0.11484375	orange
0	3	215	PVPV	0.02939453125	orange
0	3	141	PyrPyr	0.01927734375	orange
0	4	60	PyrPV	0.065625	orange
0	4	198	PVPyr	0.2165625	orange
0	3	181	PVPV	0.02474609375	orange
0	3	121	PyrPyr	0.01654296875	orange
0	4	110	PyrPV	0.1203125	orange
0	4	169	PVPyr	0.18484375	orange
0	3	130	PVPV	0.0177734375	orange
0	3	139	PyrPyr	0.01900390625	orange
0	4	40	PyrPV	0.04375	orange
0	4	142	PVPyr	0.1553125	orange
0	3	141	PVPV	0.01927734375	orange
0	3	170	PyrPyr	0.0232421875	orange
0	4	100	PyrPV	0.109375	orange
0	4	119	PVPyr	0.13015625	orange
0	3	122	PVPV	0.0166796875	orange
0	3	161	PyrPyr	0.02201171875	orange
0	4	100	PyrPV	0.109375	orange
0	4	178	PVPyr	0.1946875	orange
0	3	201	PVPV	0.02748046875	orange
0	3	100	PyrPyr	0.013671875	orange
